City_ID,City,Country,Max Temp,lat,lng,Current Description,Hotel Name
0,Vaini,TO,77.16,-21.2,-175.2,broken clouds,Keleti International Resort
12,Saint-Philippe,RE,78.39,-21.3585,55.7679,light rain,Le Baril
13,Altamira,BR,86.09,-3.2033,-52.2064,broken clouds,Hotel Vale do Xingu
15,Cobija,BO,87.98,-11.0267,-68.7692,broken clouds,Hotel El Cristo
29,Pitimbu,BR,86.59,-7.4706,-34.8086,overcast clouds,Pousada Brisa Mar
30,Pochutla,MX,87.82,15.7432,-96.4661,clear sky,Posada San Jose
35,Rikitea,PF,78.37,-23.1203,-134.9692,few clouds,Chez Bianca & Benoit
37,Dakar,SN,85.08,14.6937,-17.4441,clear sky,翁记小吃
47,Puerto Ayora,EC,82.36,-0.7393,-90.3518,scattered clouds,Hostal La Mirada De Solitario George
50,Atuona,PF,77.99,-9.8,-139.0333,clear sky,Pearl Resort
54,Dzidzantun,MX,85.59,21.25,-89.05,clear sky,Hotel Hacienda San Francisco
63,Avarua,CK,78.85,-21.2078,-159.775,scattered clouds,Paradise Inn
66,Panama City,PA,87.13,8.9936,-79.5197,moderate rain,Hostal Familiar Carmencita
74,Faanui,PF,80.42,-16.4833,-151.75,light rain,Oa Oa Lodge
79,Cabo San Lucas,MX,82.62,22.8909,-109.9124,clear sky,Comfort Rooms
83,Impfondo,CG,80.29,1.6381,18.0667,overcast clouds,Tropicana
91,Itarema,BR,84.34,-2.9248,-39.9167,clear sky,Pousada Oásis
92,Sao Felix Do Xingu,BR,82.76,-6.6447,-51.995,overcast clouds,Hotel Terraço
93,Robertsport,LR,80.94,6.7533,-11.3686,clear sky,Nana's Lodge
99,Palmas,BR,87.67,-10.2128,-48.3603,scattered clouds,Hotel Triângulo Mineiro
103,Hithadhoo,MV,80.47,-0.6,73.0833,overcast clouds,Pebbles Inn
108,Mahibadhoo,MV,80.15,3.7833,72.9667,overcast clouds,Coral View Inn
109,San Cristobal,VE,77.18,7.7669,-72.225,broken clouds,Terra Sur
110,Maputo,MZ,78.48,-25.9653,32.5892,few clouds,Mozaika
111,Pisco,PE,75.02,-13.7,-76.2167,few clouds,La Portada
126,Alta Floresta,BR,82.02,-9.8756,-56.0861,overcast clouds,Villas Hotel
129,Cayenne,GF,82.44,4.9333,-52.3333,light rain,Central Hôtel
130,Ewa Beach,US,78.01,21.3156,-158.0072,clear sky,Hampton Inn & Suites Oahu/Kapolei
131,Vila Velha,BR,85.95,-20.3297,-40.2925,few clouds,Hotel Prainha
134,Frontera,MX,84.33,26.9333,-101.45,few clouds,Quirino
144,Georgetown,MY,80.53,5.4112,100.3354,light rain,Page 63 hostel
145,Port Blair,IN,75.24,11.6667,92.75,mist,Andaman Ocean Breeze
157,Saint-Georges,GD,83.88,12.0564,-61.7485,light rain,Deyna's City Inn
160,Mar Del Plata,AR,75.22,-38.0023,-57.5575,scattered clouds,Nuevo Ostende
163,Cidreira,BR,78.85,-30.1811,-50.2056,clear sky,Hotel Castelo
173,Maraba,BR,82.58,-5.3686,-49.1178,moderate rain,Portobelo
177,Sao Filipe,CV,77.38,14.8961,-24.4956,clear sky,Bela Vista
184,Acapulco,MX,85.82,16.8634,-99.8901,clear sky,Hotel del Valle
185,Hilo,US,79.29,19.7297,-155.09,clear sky,Dolphin Bay Hotel
188,Padang,ID,75.25,-0.9492,100.3543,light rain,losmen Surya
190,Banjar,ID,76.37,-8.19,114.9675,overcast clouds,Villa Banjar Beach
200,Iquitos,PE,80.64,-3.7481,-73.2472,broken clouds,Marfil del Amazonas
206,Kapoeta,SS,83.1,4.7717,33.5903,overcast clouds,Kuleu
209,Lorengau,PG,80.08,-2.0226,147.2712,overcast clouds,Seeadler Bay Hotel
212,Cockburn Town,TC,77.34,21.4612,-71.1419,scattered clouds,The Salt Raker Inn
214,Inirida,CO,77.65,3.8653,-67.9239,overcast clouds,Residencias El Turista del Guainia
218,Soyo,AO,79.27,-6.1349,12.3689,overcast clouds,Hotel Maria Teres
219,Meulaboh,ID,75.07,4.1363,96.1285,overcast clouds,Hotel Meuligou
221,Mbandaka,CD,77.16,0.0487,18.2603,overcast clouds,Hôtel Epervier
223,Tabou,CI,80.73,4.423,-7.3528,broken clouds,hôtel le rochet
230,Manokwari,ID,78.51,-0.8667,134.0833,overcast clouds,Hotel Arfak
232,Buchanan,LR,79.95,5.8808,-10.0467,clear sky,Phillipmena's Guesthouse
235,Chuy,UY,82.0,-33.6971,-53.4616,overcast clouds,Alerces
250,Namatanai,PG,78.57,-3.6667,152.4333,light rain,Namatanai Hotel
256,Sao Joao Da Barra,BR,87.89,-21.6403,-41.0511,overcast clouds,Pousada Mediterrâneo
257,Mogadishu,SO,77.7,2.0371,45.3438,scattered clouds,SYL Hotel
