City_ID,City,Country,lat,lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Vaini,TO,-21.2,-175.2,77.16,100,75,2.3,broken clouds
1,Vostok,RU,46.4856,135.8833,7.25,93,32,5.28,scattered clouds
2,Denia,ES,38.8408,0.1057,62.85,65,98,1.99,overcast clouds
3,Corinto,GR,37.9407,22.9573,48.88,71,27,2.75,scattered clouds
4,Chokurdakh,RU,70.6333,147.9167,-25.96,97,100,3.6,overcast clouds
5,Kapit,MY,2.0167,112.9333,72.59,99,100,0.56,overcast clouds
6,Albany,US,42.6001,-73.9662,33.04,62,100,1.99,overcast clouds
7,Hobart,AU,-42.8794,147.3294,58.05,92,3,0.0,clear sky
8,Jamestown,US,42.097,-79.2353,40.95,55,100,8.05,overcast clouds
9,Ponta Do Sol,PT,32.6667,-17.1,67.01,82,63,6.4,broken clouds
10,Punta Arenas,CL,-53.15,-70.9167,60.82,44,75,24.16,broken clouds
11,Mataura,NZ,-46.1927,168.8643,51.67,92,100,1.5,overcast clouds
12,Saint-Philippe,RE,-21.3585,55.7679,78.39,83,59,14.38,light rain
13,Altamira,BR,-3.2033,-52.2064,86.09,70,75,4.61,broken clouds
14,Port Lincoln,AU,-34.7333,135.8667,61.97,86,0,8.37,clear sky
15,Cobija,BO,-11.0267,-68.7692,87.98,70,75,9.22,broken clouds
16,Iwai,JP,36.05,139.9,42.94,42,12,3.56,few clouds
17,Awjilah,LY,29.1081,21.2869,56.68,55,8,9.08,clear sky
18,Tura,IN,25.5198,90.2201,56.8,66,0,2.68,clear sky
19,Kutum,SD,14.2,24.6667,60.87,26,38,7.9,scattered clouds
20,Bethel,US,41.3712,-73.414,37.9,55,98,1.01,overcast clouds
21,Bambous Virieux,MU,-20.3428,57.7575,79.21,78,40,10.36,light rain
22,East London,ZA,-33.0153,27.9116,74.34,94,0,3.44,clear sky
23,New Norfolk,AU,-42.7826,147.0587,56.71,67,4,1.12,clear sky
24,Hermanus,ZA,-34.4187,19.2345,73.8,82,100,10.25,overcast clouds
25,Ushuaia,AR,-54.8,-68.3,55.06,62,75,19.57,broken clouds
26,Vestmanna,FO,62.1564,-7.1664,36.52,93,75,11.5,broken clouds
27,Thompson,CA,55.7435,-97.8558,12.36,79,75,5.75,broken clouds
28,Port Alfred,ZA,-33.5906,26.891,75.18,91,96,4.38,overcast clouds
29,Pitimbu,BR,-7.4706,-34.8086,86.59,69,97,11.9,overcast clouds
30,Pochutla,MX,15.7432,-96.4661,87.82,45,5,8.7,clear sky
31,Severo-Kurilsk,RU,50.6789,156.125,21.31,72,94,27.6,overcast clouds
32,Aguas Vermelhas,BR,-15.7472,-41.46,78.53,70,99,3.87,overcast clouds
33,Oktyabrskiy,RU,54.4815,53.471,-12.95,94,95,8.79,overcast clouds
34,Busselton,AU,-33.65,115.3333,58.73,91,4,7.16,clear sky
35,Rikitea,PF,-23.1203,-134.9692,78.37,76,19,16.4,few clouds
36,Najran,SA,17.4924,44.1277,57.85,55,0,5.08,clear sky
37,Dakar,SN,14.6937,-17.4441,85.08,53,0,13.8,clear sky
38,Provideniya,RU,64.3833,-173.3,0.1,94,100,8.01,overcast clouds
39,San Policarpo,PH,12.1791,125.5072,77.58,86,100,24.11,overcast clouds
40,Victoria,HK,22.2855,114.1577,66.25,90,100,1.99,overcast clouds
41,Greenfield,US,42.9614,-88.0126,44.94,87,75,8.05,mist
42,Peniche,PT,39.3558,-9.3811,56.28,69,1,16.96,clear sky
43,Dikson,RU,73.5069,80.5464,-26.79,97,99,5.79,overcast clouds
44,Anadyr,RU,64.75,177.4833,-13.52,83,3,17.9,clear sky
