City_ID,City,Country,Date,lat,lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Labuhan,ID,2022-12-07 17:09:10,-6.8844,112.2051,80.47,77,100,2.91
1,Itarema,BR,2022-12-07 17:07:09,-2.9248,-39.9167,88.05,57,39,18.54
2,Cine,TR,2022-12-07 17:09:11,37.6117,28.0614,49.41,80,99,1.3
3,Portland,US,2022-12-07 17:02:55,45.5234,-122.6762,40.95,90,100,4.61
4,Malaryta,BY,2022-12-07 17:09:12,51.7905,24.074,33.3,98,100,11.54
5,Albany,US,2022-12-07 17:00:38,42.6001,-73.9662,57.38,90,100,1.01
6,Atuona,PF,2022-12-07 17:09:12,-9.8,-139.0333,77.32,77,35,19.8
7,Imbituba,BR,2022-12-07 17:09:13,-28.24,-48.6703,76.5,69,4,11.79
8,Henties Bay,NA,2022-12-07 17:09:13,-22.116,14.2845,61.38,79,1,12.21
9,Busselton,AU,2022-12-07 17:09:14,-33.65,115.3333,63.19,67,95,14.74
10,Fukue,JP,2022-12-07 17:09:14,32.6881,128.8419,55.06,56,1,15.77
11,Bouar,CF,2022-12-07 17:09:15,5.934,15.596,76.64,27,72,4.74
12,Mossendjo,CG,2022-12-07 17:09:15,-2.9506,12.7261,71.11,94,100,0.92
13,Barrow,US,2022-12-07 17:09:15,71.2906,-156.7887,12.22,85,100,21.85
14,Laguna,US,2022-12-07 17:09:16,38.421,-121.4238,48.78,95,0,0.0
15,Coquimbo,CL,2022-12-07 17:09:16,-29.9533,-71.3436,65.93,72,75,9.22
16,Rikitea,PF,2022-12-07 17:09:17,-23.1203,-134.9692,75.02,81,27,17.81
17,Gizo,SB,2022-12-07 17:09:17,-8.103,156.8419,81.93,76,95,6.53
18,Pisco,PE,2022-12-07 17:09:18,-13.7,-76.2167,69.85,78,20,10.36
19,Ushuaia,AR,2022-12-07 17:09:18,-54.8,-68.3,47.82,49,40,26.46
20,New Norfolk,AU,2022-12-07 17:09:19,-42.7826,147.0587,49.5,72,95,1.01
21,Mar Del Plata,AR,2022-12-07 17:09:19,-38.0023,-57.5575,86.83,81,0,20.0
22,San Francisco,US,2022-12-07 16:55:02,37.7749,-122.4194,50.31,92,20,4.0
23,Taoudenni,ML,2022-12-07 17:09:19,22.6783,-3.9836,90.01,13,21,2.95
24,Kulhudhuffushi,MV,2022-12-07 17:09:20,6.6221,73.07,80.98,74,68,5.3
25,Arraial Do Cabo,BR,2022-12-07 17:09:20,-22.9661,-42.0278,76.86,78,75,8.05
26,Katsuura,JP,2022-12-07 17:09:21,35.1333,140.3,44.62,63,30,7.0
27,Bethel,US,2022-12-07 17:04:17,41.3712,-73.414,58.33,88,100,4.12
28,Hobart,AU,2022-12-07 17:09:21,-42.8794,147.3294,49.86,83,100,12.66
29,Hofn,IS,2022-12-07 17:09:22,64.2539,-15.2082,28.42,54,20,20.71
30,Court-Saint-Etienne,BE,2022-12-07 17:09:22,50.6167,4.5667,40.42,93,75,5.75
31,Adrar,MR,2022-12-07 17:09:23,20.5022,-10.0711,88.81,25,13,3.67
32,Tiksi,RU,2022-12-07 17:09:23,71.6872,128.8694,-11.52,99,100,7.34
33,Jamestown,US,2022-12-07 17:05:38,42.097,-79.2353,47.01,77,100,6.91
34,Rockport,US,2022-12-07 17:09:24,28.0206,-97.0544,80.62,90,75,11.5
35,Nikolskoye,RU,2022-12-07 17:09:24,59.7035,30.7861,22.91,86,100,11.97
36,Srednekolymsk,RU,2022-12-07 17:09:25,67.45,153.6833,-34.51,90,76,7.36
37,Moranbah,AU,2022-12-07 17:09:25,-22.0016,148.0466,79.5,51,0,12.26
38,Boyabat,TR,2022-12-07 17:09:16,41.4689,34.7667,45.03,64,47,0.78
39,Dikson,RU,2022-12-07 17:09:26,73.5069,80.5464,-12.48,92,95,20.94
40,Goderich,CA,2022-12-07 17:09:26,43.7501,-81.7165,42.91,83,93,2.75
41,Wakefield,GB,2022-12-07 17:09:27,53.6809,-1.499,36.5,80,11,1.99
42,Namibe,AO,2022-12-07 17:09:27,-15.1961,12.1522,70.83,76,16,8.25
43,Methoni,GR,2022-12-07 17:09:28,36.8197,21.7049,59.22,84,47,12.55
44,Cao Bang,VN,2022-12-07 17:09:28,22.6667,106.25,56.14,82,100,1.52
45,Cape Town,ZA,2022-12-07 17:10:29,-33.9258,18.4232,74.37,57,1,5.01
46,Cidreira,BR,2022-12-07 17:10:29,-30.1811,-50.2056,74.44,67,0,7.99
47,Kodiak,US,2022-12-07 17:10:31,57.79,-152.4072,33.31,55,0,28.77
48,Bluff,NZ,2022-12-07 17:10:32,-46.6,168.3333,52.39,77,100,9.89
49,Killarney,IE,2022-12-07 17:10:34,52.05,-9.5167,35.65,80,0,0.0
50,Puerto Ayora,EC,2022-12-07 17:10:34,-0.7393,-90.3518,76.96,92,57,5.99
51,Independence,US,2022-12-07 17:07:52,39.0911,-94.4155,48.11,67,100,3.44
52,Guerrero Negro,MX,2022-12-07 17:10:35,27.9769,-114.0611,63.7,61,1,14.76
53,Port Elizabeth,ZA,2022-12-07 17:10:35,-33.918,25.5701,72.1,88,1,8.99
